4090;https://tweakers.net/reviews/10532/21
4080;https://tweakers.net/reviews/10638/18
3090 Ti;https://tweakers.net/reviews/9962/18
3090;https://tweakers.net/reviews/8194/21
3080 Ti;https://tweakers.net/reviews/9080/19
3080;https://tweakers.net/reviews/8152/24
3070 Ti;https://tweakers.net/reviews/9104/19
3070;https://tweakers.net/reviews/8274/20
3060 Ti;https://tweakers.net/reviews/8398/20
3060;https://tweakers.net/reviews/8698/19
3050;https://tweakers.net/reviews/9758/17
2080 Ti *;https://tweakers.net/reviews/6553/19
2080 *;https://tweakers.net/reviews/6553/19
2070;https://tweakers.net/reviews/6623/18
2060;https://tweakers.net/reviews/6772/16
1660 Ti;https://tweakers.net/reviews/6890/17
1660 Super;https://tweakers.net/reviews/7448/16
1660;https://tweakers.net/reviews/6928/16
1650;https://tweakers.net/reviews/7040/20
1080 Ti;https://tweakers.net/reviews/5259/11
1080 *;https://tweakers.net/reviews/4643/15
1070 Ti;https://tweakers.net/reviews/5835/11
1070 *;https://tweakers.net/reviews/4643/15
1060;https://tweakers.net/reviews/4739/12
1050 Ti *;https://tweakers.net/reviews/4975/11
1050 *;https://tweakers.net/reviews/4975/11
7900 XTX;https://tweakers.net/reviews/10702/19
7900 XT;https://tweakers.net/reviews/10702/19
6900 XT;https://tweakers.net/reviews/8444/24
6800 XT*;https://tweakers.net/reviews/8354/22
6800*;https://tweakers.net/reviews/8354/22
6700 XT;https://tweakers.net/reviews/8818/19
6600 XT;https://tweakers.net/reviews/9276/18
6600;https://tweakers.net/reviews/9458/14
6500 XT;https://tweakers.net/reviews/9712/16
5700 XT *;https://tweakers.net/reviews/7196/20
5700 *;https://tweakers.net/reviews/7196/20
5600 XT;https://tweakers.net/reviews/7622/17
RX 590;https://tweakers.net/reviews/6689/16
RX 580 *;https://tweakers.net/reviews/5353/11
RX 570 *;https://tweakers.net/reviews/5353/11
RX 480;https://tweakers.net/reviews/4709/14
RX 470;https://tweakers.net/reviews/4785/13
Radeon VII;https://tweakers.net/reviews/6842/19
Vega Liquid;https://tweakers.net/reviews/5667/16
Vega 64*;https://tweakers.net/reviews/5603/16
Vega 56*;https://tweakers.net/reviews/5603/16
